target_variable,source_columns,recode,param
age,indager,keep,
sex,sex,map,0=1;1=2
education,edqual,map,1=3;2=2;3=1
self_rated_health,srh,map,1=5;2=4;3=3;4=2;5=1
ever_diabetes,diabe,map,1=1;2=0
ever_hypertension,hibpe,map,1=1;2=0
ever_heart_disease,hearte,map,1=1;2=0
bmi,bmival,numeric,
depression_cesd,cesd,keep,
current_smoker,smoken,binary,
